id,age_in_years,neighbourhood,beds,daily_rev_per_2_guests,review_scores_rating,total_rev,property_type,room_type,host_response_rate,number_of_reviews
304958,8.93,Westerpark,2,130,98,11440,Apartment,Entire home/apt,0.8,11
2818,8.8,Oostelijk Havengebied - Indische Buurt,2,69,97,44712,Apartment,Private room,1,108
103026,8.74,De Baarsjes - Oud-West,1,95,92,8550,Apartment,Entire home/apt,1,15
550017,8.62,Centrum-Oost,1,110,97,8800,Apartment,Entire home/apt,1,20
4728389,8.57,Centrum-West,2,250,100,1000,Apartment,Entire home/apt,0.89,1
5181918,8.57,Centrum-West,1,115,95,920,Apartment,Private room,0.89,4
2774924,8.53,Zuid,1,80,95,15840,House,Private room,1,33
23651,8.35,De Pijp - Rivierenbuurt,1,80,96,34560,Apartment,Private room,1,36
8061,8.08,De Baarsjes - Oud-West,2,95,100,1140,Apartment,Entire home/apt,0.75,2
98558,7.98,Centrum-Oost,1,145,99,16530,Apartment,Entire home/apt,1,19
9693,7.91,Centrum-West,1,132,99,35904,Apartment,Entire home/apt,0.9,34
2323819,7.85,Bos en Lommer,1,79,100,2054,Apartment,Entire home/apt,1,13
280105,7.79,Centrum-West,2,245,99,17640,Apartment,Entire home/apt,0.96,18
933385,7.79,De Baarsjes - Oud-West,2,82,98,6232,Apartment,Private room,1,19
1182306,7.74,Zuid,1,59,95,6844,Apartment,Private room,1,58
75583,7.62,Slotervaart,2,65,99,27820,Apartment,Private room,1,107
15061,7.62,Westerpark,2,86,95,19952,Apartment,Private room,1,58
20168,7.62,Centrum-Oost,1,50,83,2500,House,Private room,1,25
3903880,7.62,Centrum-Oost,1,50,86,1400,House,Private room,1,14
1030014,7.59,Centrum-West,1,69,90,5382,Apartment,Entire home/apt,1,13
43980,7.56,Zuid,2,80,77,14720,Apartment,Entire home/apt,0.99,46
85767,7.56,Centrum-West,4,80,73,15680,Apartment,Entire home/apt,0.99,49
3739250,7.49,Centrum-Oost,2,110,88,3300,Apartment,Entire home/apt,1,5
3261215,7.46,Centrum-West,1,74,97,13024,Apartment,Private room,0.8,22
2820641,7.44,Centrum-West,5,250,96,51000,Apartment,Entire home/apt,1,34
3302169,7.44,Centrum-West,6,200,90,2400,Apartment,Entire home/apt,1,2
1756765,7.44,De Baarsjes - Oud-West,3,180,94,37800,Boat,Entire home/apt,1,35
743666,7.44,De Baarsjes - Oud-West,4,200,95,86400,Boat,Entire home/apt,1,72
468132,7.44,De Pijp - Rivierenbuurt,3,160,89,49920,Apartment,Entire home/apt,1,52
822614,7.44,De Pijp - Rivierenbuurt,3,200,91,38400,Apartment,Entire home/apt,1,32
2396344,7.44,Oud-Oost,5,160,89,24000,Apartment,Entire home/apt,1,25
5275545,7.44,De Baarsjes - Oud-West,3,120,90,1440,Boat,Entire home/apt,1,2
857794,7.44,Centrum-Oost,2,120,92,32400,Apartment,Entire home/apt,1,45
236632,7.44,De Pijp - Rivierenbuurt,2,100,96,31200,Apartment,Entire home/apt,1,39
999908,7.44,Oud-Oost,2,75,87,14250,Apartment,Entire home/apt,1,19
2821480,7.44,Centrum-West,4,140,96,15960,Apartment,Entire home/apt,1,19
3414536,7.44,Westerpark,1,160,94,12480,Boat,Entire home/apt,1,13
2821284,7.44,Centrum-West,2,120,95,17280,Apartment,Entire home/apt,1,24
4069573,7.4,De Pijp - Rivierenbuurt,6,206,40,1236,Boat,Entire home/apt,1,1
948808,7.4,De Pijp - Rivierenbuurt,3,140,83,8400,Boat,Entire home/apt,1,10
4374110,7.4,Westerpark,2,200,90,2400,Boat,Entire home/apt,1,2
2436846,7.4,Centrum-West,3,227,87,24516,Boat,Entire home/apt,1,18
539036,7.4,Centrum-Oost,2,140,88,31080,Boat,Entire home/apt,1,37
85941,7.4,Centrum-West,2,200,95,30000,Boat,Entire home/apt,1,25
27886,7.31,Centrum-West,1,135,100,5940,Boat,Entire home/apt,1,11
3985308,7.31,De Baarsjes - Oud-West,1,90,100,6480,Apartment,Entire home/apt,1,9
178841,7.31,Westerpark,1,95,85,16530,Apartment,Entire home/apt,0.8,29
4641463,7.29,Centrum-West,4,179,93,7876,Apartment,Entire home/apt,0.4,11
25488,7.26,Oostelijk Havengebied - Indische Buurt,3,120,91,66240,Apartment,Entire home/apt,1,69
